Instance,file name,coantaienrs,Destinations,Docks,Objective,F1,F2,Status,UsedTrucks,ExecutionTime(s)
9,inst_9_2_7.txt,9,2,15,987.0,1650.0,324.0,TimeLimit,4.0,48.832
9,inst_9_2_7.txt,9,2,15,987.0,1650.0,324.0,Optimal,4.0,48.832
30,inst_30_7_20.txt,30,7,15,3108.5,5081.0,1136.0,TimeLimit,13.0,300.057
30,inst_30_7_20.txt,30,7,15,,,,9,,300.057
8,inst_8_1_5.txt,8,1,15,1027.5,1821.0,234.0,TimeLimit,3.0,0.733
8,inst_8_1_5.txt,8,1,15,1027.5,1821.0,234.0,Optimal,3.0,0.733
5,inst_5_2_4.txt,5,2,15,1009.0,1835.0,183.0,TimeLimit,3.0,0.037
5,inst_5_2_4.txt,5,2,15,1009.0,1835.0,183.0,Optimal,3.0,0.037
12,inst_12_3_7.txt,12,3,15,2063.5,3699.0,428.0,TimeLimit,6.0,300.021
12,inst_12_3_7.txt,12,3,15,,,,9,,300.021
10,inst_10_1_7.txt,10,1,15,943.5,1588.0,299.0,TimeLimit,4.0,4.197
10,inst_10_1_7.txt,10,1,15,943.5,1588.0,299.0,Optimal,4.0,4.197
9,inst_9_3_7.txt,9,3,15,1336.5,2331.0,342.0,TimeLimit,4.0,46.479
9,inst_9_3_7.txt,9,3,15,1336.5,2331.0,342.0,Optimal,4.0,46.479
11,inst_11_2_7.txt,11,2,15,1121.5,1876.0,367.0,TimeLimit,4.0,92.523
11,inst_11_2_7.txt,11,2,15,1121.5,1876.0,367.0,Optimal,4.0,92.523
11,inst_11_3_7.txt,11,3,15,1219.5,2042.0,397.0,TimeLimit,5.0,300.022
11,inst_11_3_7.txt,11,3,15,,,,9,,300.022
4,inst_4_3_4.txt,4,3,15,825.0,1542.0,108.0,TimeLimit,3.0,0.087
4,inst_4_3_4.txt,4,3,15,825.0,1542.0,108.0,Optimal,3.0,0.087
11,inst_11_1_7.txt,11,1,15,793.0,1276.0,310.0,TimeLimit,4.0,4.852
11,inst_11_1_7.txt,11,1,15,793.0,1276.0,310.0,Optimal,4.0,4.852
4,inst_4_2_4.txt,4,2,15,616.0,1096.0,136.0,TimeLimit,2.0,0.026
4,inst_4_2_4.txt,4,2,15,616.0,1096.0,136.0,Optimal,2.0,0.026
5,inst_5_1_4.txt,5,1,15,474.5,750.0,199.0,TimeLimit,2.0,0.199
5,inst_5_1_4.txt,5,1,15,474.5,750.0,199.0,Optimal,2.0,0.199
4,inst_4_1_4.txt,4,1,15,243.5,351.0,136.0,TimeLimit,1.0,0.023
4,inst_4_1_4.txt,4,1,15,243.5,351.0,136.0,Optimal,1.0,0.023
12,inst_12_1_7.txt,12,1,15,1206.0,2035.0,377.0,TimeLimit,5.0,17.305
12,inst_12_1_7.txt,12,1,15,1206.0,2035.0,377.0,Optimal,5.0,17.305
6,inst_6_3_5.txt,6,3,15,800.0,1440.0,160.0,TimeLimit,3.0,0.795
6,inst_6_3_5.txt,6,3,15,800.0,1440.0,160.0,Optimal,3.0,0.795
7,inst_7_1_5.txt,7,1,15,740.5,1263.0,218.0,TimeLimit,3.0,0.32
7,inst_7_1_5.txt,7,1,15,740.5,1263.0,218.0,Optimal,3.0,0.32
7,inst_7_2_5.txt,7,2,15,1022.0,1792.0,252.0,TimeLimit,3.0,0.33
7,inst_7_2_5.txt,7,2,15,1022.0,1792.0,252.0,Optimal,3.0,0.33
6,inst_6_2_5.txt,6,2,15,608.0,1033.0,183.0,TimeLimit,2.0,0.039
6,inst_6_2_5.txt,6,2,15,608.0,1033.0,183.0,Optimal,2.0,0.039
9,inst_9_1_7.txt,9,1,15,600.5,891.0,310.0,TimeLimit,3.0,2.526
9,inst_9_1_7.txt,9,1,15,600.5,891.0,310.0,Optimal,3.0,2.526
20,inst_20_7_15.txt,20,7,15,2865.0,5001.0,729.0,TimeLimit,10.0,300.034
20,inst_20_7_15.txt,20,7,15,,,,9,,300.034
5,inst_5_3_4.txt,5,3,15,1064.0,1923.0,205.0,TimeLimit,4.0,0.077
5,inst_5_3_4.txt,5,3,15,1064.0,1923.0,205.0,Optimal,4.0,0.077
7,inst_7_3_5.txt,7,3,15,1045.0,1797.0,293.0,TimeLimit,3.0,0.051
7,inst_7_3_5.txt,7,3,15,1045.0,1797.0,293.0,Optimal,3.0,0.051
6,inst_6_1_5.txt,6,1,15,659.0,1166.0,152.0,TimeLimit,2.0,0.508
6,inst_6_1_5.txt,6,1,15,659.0,1166.0,152.0,Optimal,2.0,0.508
20,inst_20_10_15.txt,20,10,15,4027.0,7338.0,716.0,TimeLimit,12.0,300.021
20,inst_20_10_15.txt,20,10,15,,,,9,,300.021
8,inst_8_3_5.txt,8,3,15,1400.5,2520.0,281.0,TimeLimit,4.0,4.672
8,inst_8_3_5.txt,8,3,15,1400.5,2520.0,281.0,Optimal,4.0,4.672
10,inst_10_3_7.txt,10,3,15,1741.5,3102.0,381.0,TimeLimit,5.0,233.322
10,inst_10_3_7.txt,10,3,15,1741.5,3102.0,381.0,Optimal,5.0,233.322
12,inst_12_2_7.txt,12,2,15,1529.5,2688.0,371.0,TimeLimit,5.0,6.081
12,inst_12_2_7.txt,12,2,15,1529.5,2688.0,371.0,Optimal,5.0,6.081
30,inst_30_10_20.txt,30,10,15,,,,TimeLimit,,0.131
30,inst_30_10_20.txt,30,10,15,,,,Infeasible,,0.131
10,inst_10_2_7.txt,10,2,15,1230.0,2098.0,362.0,TimeLimit,4.0,6.894
10,inst_10_2_7.txt,10,2,15,1230.0,2098.0,362.0,Optimal,4.0,6.894
30,inst_30_15_20.txt,30,15,15,5316.5,9529.0,1104.0,TimeLimit,17.0,300.028
30,inst_30_15_20.txt,30,15,15,,,,9,,300.028
8,inst_8_2_5.txt,8,2,15,1376.5,2510.0,243.0,TimeLimit,4.0,6.172
8,inst_8_2_5.txt,8,2,15,1376.5,2510.0,243.0,Optimal,4.0,6.172
